"014 - Cincinnati Operating Division, 01 - Grocery Display Plan",,,,,,,,,,,,,,,
2024 PD 1 WK 2 (2),,,,,,,,,,,,,,,
"Feb 14, 2024 - Feb 20, 2024",,,,,,,,,,,,,,,
Display Section Name,Priority,Subtype,UPC/GTIN,Barcode,Description,Size,Retail,Event Participation,Retail Runs Thru,Display Start,Display End,ESI Qty,ESI Pack,ESI Delivery Date,
,,,0003663203903,,DANN LF GD GRK MX BRY YG,5.3 OZ,,,,,,,,,
,,,0003663203902,,DANN LF BLBRY GD GRK YGT,5.3 OZ,,,,,,,,,
,,,0003663203967,,2GD MIXBERRY DRINK,7 FLOZ,,,,,,2,8,02/15/2024,
,,,0003663204019,,DANN LF ZERO SGR DRK YGT,7 FLOZ,,,,,,1,8,02/15/2024,
Dairy Displays - BUNKER,5,main,,,KROGER SOUR CREAM (WDD CLEAN UP) 16 OZ,16 OZ,$1.79,,P1W2,P1W2,P1W2,,,,
,,,0001111046070,,KRO SOUR CREAM,16 OZ,,,,,,5,18,02/10/2024,
,,,0001111003896,,KRO LT SOUR CREAM,16 OZ,,,,,,,,,
,,,0001111046237,,KRO SOUR CREAM W/CHIVES,16 OZ,,,,,,,,,
,,,0001111046270,,KRO FF SOUR CREAM,16 OZ,,,,,,,,,
,,,,,KROGER DIP (WDD CLEAN UP) 16 OZ,16 OZ,$1.79,,P1W2,P1W2,P1W2,,,,
,,,0001111009784,,KRO FRENCH ONION SC DIP,16 OZ,,,,,,1,18,02/10/2024,
,,,0001111009782,,KRO RANCH SOUR CREAM DIP,16 OZ,,,,,,1,6,02/10/2024,
,,,0001111009863,,KRO SR CRM MEX ST CRN DIP,16 OZ,,,,,,,,,
,,,0001111009862,,KRO SR CRM EVRY BAGEL DIP,16 OZ,,,,,,,,,
,,,,,KROGER COTTAGE CHEESE (WDD CLEAN UP) 16 OZ,16 OZ,$1.79,,P1W2,P1W2,P1W2,,,,
,,,0001111044760,,KRO SML CURD COTTAGE CHS,16 OZ,,,,,,5,6,02/10/2024,
,,,0001111045043,,KRO 2% LF COTTAGE CHEESE,16 OZ,,,,,,2,6,02/10/2024,
,,,0001111044700,,KRO LRG CURD COTTAGE CHS,16 OZ,,,,,,1,6,02/10/2024,
,,,0001111044445,,KRO FF COTTAGE CHEESE,16 OZ,,,,,,1,6,02/10/2024,
Dairy Displays - BUNKER,6,main,,,PETE AND GERRY´S ORGANIC EGGS 12.00 EA,12.00 EA,$6.99,B3S6 MEGA Event P1W2-P1W3 - 2024,P1W3,P1W2,P1W3,,,,
,,,0081565200214,,PG ORG LARGE GR A EGGS,12 CT,,,,,,,,,
Dairy Displays - BUNKER,7,main,,,TROPICANA PREMIUM DRINKS 52.00 FO,52.00 FO,2 for $5,,P1W3,P1W2,P1W3,,,,
,,,0004850020397,,TROP CARIBBEAN,52 FO,,,,,,,,,
,,,0004850020272,,TROP DRINKS PNPL MANGO,52 FO,,,,,,,,,
,,,0004850020472,,TROP PEACHY PAPL PRDS DRK,52 FO,,,,,,,,,
,,,0004850020497,,TROP ZERO SUMMR FRT PNCH,52 FO,,,,,,,,,
,,,0004850020398,,TROP PINA COLA,52 FO,,,,,,,,,
Dairy Displays - BUNKER,8,main,,,SEASONAL COFFEE CREAMERS 32 FO,32 FO,2 for $7,,P2W4,P1W2,P2W3,,,,
,,,0005000097088,,CFMT TWIX ZERO SUGAR CFE,32 FO,,,,,,3,6,02/15/2024,
,,Tie-In,,,ST PATRICKS/EASTER SEASONAL COOKIES 9.1,9.1,2 for $7,,P2W3,P1W2,P2W3,,,,
,,,0001800011624,,PLBRY RTB CKS LUCKY CHARM,14 OZ,,,,,,2,12,02/12/2024,
,,,0001800011935,,PLBRY RTB CK SP SC 10CT,9.1 OZ,,,,,,2,12,02/12/2024,
,,,0001800011934,,PLBRY RTB BN SP SC 20CT,9.1 OZ,,,,,,2,12,02/12/2024,
Dairy Displays - BUNKER,9,main,,,DANNON GREEK B2G1 4/5.3-32OZ,4/5.3-32OZ,Buy 2 Get 1,,P1W4,P1W2,P1W3,,,,
,,,0003663201953,,DANN OIKOS TZ VANLLA YGRT,4/5.3 OZ,,,,,,,,,
